,Tour_ID,High Cost,Higher Cost,Highest Cost,Low Cost,Lower Cost,Normal Cost
0,tour_idynufedne,0.3042189,0.10809852,0.0032242984,0.007460771,0.069228254,0.5077693
1,tour_id9r3y5moe,0.3324362,0.42518654,0.022449426,0.030327432,0.036877662,0.1527227
2,tour_idf6itml6g,0.36838424,0.33363226,0.015181365,0.02047916,0.010543175,0.2517798
3,tour_id99u4znru,0.12370795,0.11791034,0.0034833646,0.041376557,0.10702892,0.6064928
4,tour_idj4i9urbx,0.06669595,0.0343157,0.0021986917,0.0060584806,0.051097866,0.8396333
5,tour_ids94pi2qs,0.583354,0.08001226,0.0025447155,0.0148510495,0.06529356,0.25394443
6,tour_id9xx2dq4e,0.17342365,0.7793922,0.003961435,0.01535928,0.003339001,0.024524441
7,tour_id9q7cbwf5,0.060244456,0.030991152,0.00205738,0.028541131,0.059626788,0.8185391
8,tour_id28uzu8li,0.21017428,0.6875004,0.022792304,0.0050540054,0.0141297635,0.06034922
9,tour_idf7lvpips,0.049170345,0.05030416,0.00349227,0.012124239,0.46682054,0.41808847
10,tour_id69abaq9f,0.23559037,0.292,0.05731056,0.020911908,0.038417682,0.35576952
11,tour_id20ne7vgg,0.058745425,0.046557315,0.004001035,0.056461275,0.34835735,0.48587754
12,tour_ida99j69n7,0.29007012,0.62943757,0.0079505015,0.01118025,0.0039242026,0.057437416
13,tour_idzwulen6z,0.02445061,0.31208876,0.0027642734,0.011857288,0.6034485,0.045390557
14,tour_id82x4wwmo,0.54357237,0.31393832,0.010862539,0.017042223,0.031434145,0.08315044
15,tour_idlhvaq2mf,0.32021862,0.06316206,0.0022307748,0.018742425,0.07481926,0.5208268
16,tour_id8t7kqb9n,0.48468992,0.39818013,0.0056529623,0.029569779,0.0075969743,0.07431027
17,tour_idrn7vpcu5,0.10073439,0.041214023,0.002093563,0.014889902,0.055386458,0.7856817
18,tour_idqk4wakw3,0.27424642,0.6300952,0.0047052363,0.009027324,0.004148387,0.0777774
19,tour_id6fa1ag4g,0.41641787,0.282057,0.012342019,0.023501685,0.028187288,0.2374942
20,tour_id8yxycz3h,0.5870286,0.1362674,0.0029897299,0.038090155,0.04334523,0.19227886
21,tour_idq3khwer6,0.11941247,0.036981862,0.0027091808,0.063908964,0.09942774,0.67755985
22,tour_idhgharflp,0.32575697,0.15385169,0.004283025,0.074455656,0.03394146,0.40771124
23,tour_idqjzzhcvz,0.2618488,0.67303723,0.019548189,0.0065934258,0.006337927,0.032634415
24,tour_id0l0xaktp,0.16275598,0.06473393,0.002165038,0.038248003,0.037353277,0.69474375
25,tour_idbg22qq89,0.20873761,0.042118352,0.0025773172,0.028618075,0.1949016,0.5230471
26,tour_idwkhfwtqp,0.30815387,0.58305013,0.002625708,0.02238416,0.005974234,0.077811904
27,tour_id34dyvoyk,0.29260087,0.07603757,0.0033531794,0.03216047,0.07628725,0.5195607
28,tour_id5cfn85zh,0.49217245,0.1538123,0.0032107327,0.01522264,0.0449516,0.29063025
29,tour_id84rchmqs,0.032731656,0.04547917,0.003368079,0.07774297,0.5066891,0.33398902
30,tour_idjh4cjj2x,0.462771,0.09741474,0.003994288,0.038672175,0.067993626,0.32915422
31,tour_idzy1dc1xm,0.36043707,0.447923,0.020385198,0.006711464,0.045037784,0.11950555
32,tour_id80j7qu6z,0.48770788,0.14880635,0.01368089,0.030641666,0.102185994,0.21697718
33,tour_iddtkykn6k,0.09106348,0.105427936,0.004752319,0.02876726,0.4957965,0.27419248
34,tour_idg04qytor,0.30353913,0.54470384,0.026398385,0.022311693,0.007973702,0.095073275
35,tour_idv9sccb8o,0.5669921,0.1275695,0.0039181616,0.009008274,0.0128191095,0.27969283
36,tour_idfstvxwpt,0.30991367,0.56734747,0.0056405114,0.0050453995,0.0068108183,0.10524214
